Year,Classic Principal,Classic Interest,Classic Total,Classic Remaining,PRASOC Principal,PRASOC Interest,PRASOC Total,PRASOC Remaining,Budget
1,13100.0,17030.0,30130.0,117900.0,0.0,10480.0,10480.0,131000.0,162424
2,13100.0,15327.0,28427.0,104800.0,0.0,10480.0,10480.0,131000.0,162424
3,13100.0,13624.0,26724.0,91700.0,0.0,10480.0,10480.0,131000.0,162424
4,13100.0,11921.0,25021.0,78600.0,0.0,10480.0,10480.0,131000.0,162424
5,13100.0,10218.0,23318.0,65500.0,0.0,10480.0,10480.0,131000.0,162424
6,13100.0,8515.0,21615.0,52400.0,26200.0,10480.0,36680.0,104800.0,162424
7,13100.0,6812.0,19912.0,39300.0,26200.0,8384.0,34584.0,78600.0,162424
8,13100.0,5109.0,18209.0,26200.0,26200.0,6288.0,32488.0,52400.0,162424
9,13100.0,3406.0,16506.0,13100.0,26200.0,4192.0,30392.0,26200.0,162424
10,13100.0,1703.0,14803.0,0.0,26200.0,2096.0,28296.0,0.0,162424
