Year,Classic Principal,Classic Interest,Classic Total,Classic Remaining,PRASOC Principal,PRASOC Interest,PRASOC Total,PRASOC Remaining,Budget Initial
1,19300.0,21230.0,40530.0,173700.0,0.0,15440.0,15440.0,193000.0,229914
2,19300.0,19107.0,38407.0,154400.0,0.0,15440.0,15440.0,193000.0,229914
3,19300.0,16984.0,36284.0,135100.0,0.0,15440.0,15440.0,193000.0,229914
4,19300.0,14861.0,34161.0,115800.0,27571.43,15440.0,43011.43,165428.57,229914
5,19300.0,12738.0,32038.0,96500.0,27571.43,13234.29,40805.71,137857.14,229914
6,19300.0,10615.0,29915.0,77200.0,27571.43,11028.57,38600.0,110285.71,229914
7,19300.0,8492.0,27792.0,57900.0,27571.43,8822.86,36394.29,82714.29,229914
8,19300.0,6369.0,25669.0,38600.0,27571.43,6617.14,34188.57,55142.86,229914
9,19300.0,4246.0,23546.0,19300.0,27571.43,4411.43,31982.86,27571.43,229914
10,19300.0,2123.0,21423.0,0.0,27571.43,2205.71,29777.14,0.0,229914
