Company,Initial Budget,Loan Amount,Total Budget,Classic Interest,PRASOC Grace
PME_1,11792,54000,65792,13,3
PME_2,38591,187000,225591,14,3
PME_3,10108,104000,114108,12,4
PME_4,31048,169000,200048,12,4
PME_5,35350,112000,147350,12,5
PME_6,12460,172000,184460,10,5
PME_7,20718,142000,162718,14,4
PME_8,30840,177000,207840,10,3
PME_9,24819,141000,165819,10,4
PME_10,35732,96000,131732,12,5
PME_11,35321,189000,224321,12,5
PME_12,16565,193000,209565,13,4
PME_13,19000,103000,122000,12,4
PME_14,10194,54000,64194,10,3
PME_15,38732,64000,102732,11,4
PME_16,10444,177000,187444,13,4
PME_17,20758,71000,91758,13,5
PME_18,24332,133000,157332,13,5
PME_19,17001,76000,93001,10,3
PME_20,33012,196000,229012,13,4
